t,Open,High,Low,Close
2026-08-12 11:50:00+00:00,64209.0,64217.0,64204.0,64208.0
2026-08-12 11:55:00+00:00,64207.0,64208.0,64201.0,64207.0
2026-08-12 12:00:00+00:00,64207.0,64278.0,64135.0,64241.0
2026-08-12 12:05:00+00:00,64241.0,64288.0,64226.0,64269.0
2026-08-12 12:10:00+00:00,64269.0,64270.0,64225.0,64240.0
2026-08-12 12:15:00+00:00,64236.0,64369.0,64236.0,64281.0
2026-08-12 12:20:00+00:00,64281.0,64331.0,64241.0,64242.0
2026-08-12 12:25:00+00:00,64241.0,64416.0,64234.0,64387.0
2026-08-12 12:30:00+00:00,64388.0,64487.0,64066.0,64239.0
2026-08-12 12:35:00+00:00,64240.0,64259.0,64027.0,64048.0
2026-08-12 12:40:00+00:00,64048.0,64100.0,64024.0,64076.0
2026-08-12 12:45:00+00:00,64075.0,64076.0,63939.0,63964.0
2026-08-12 12:50:00+00:00,63963.0,64160.0,63963.0,64126.0
2026-08-12 12:55:00+00:00,64125.0,64129.0,64076.0,64101.0
2026-08-12 13:00:00+00:00,64101.0,64142.0,64018.0,64039.0
2026-08-12 13:05:00+00:00,64039.0,64090.0,63996.0,64076.0
2026-08-12 13:10:00+00:00,64075.0,64100.0,63916.0,63964.0
2026-08-12 13:15:00+00:00,63964.0,64020.0,63964.0,63988.0
2026-08-12 13:20:00+00:00,63987.0,64022.0,63941.0,63941.0
2026-08-12 13:25:00+00:00,63939.0,63939.0,63887.0,63936.0
2026-08-12 13:30:00+00:00,63936.0,63996.0,63845.0,63900.0
2026-08-12 13:35:00+00:00,63900.0,63986.0,63892.0,63932.0
2026-08-12 13:40:00+00:00,63931.0,63988.0,63843.0,63966.0
2026-08-12 13:45:00+00:00,63965.0,64060.0,63957.0,63976.0
2026-08-12 13:50:00+00:00,63976.0,63987.0,63854.0,63882.0
2026-08-12 13:55:00+00:00,63882.0,63909.0,63811.0,63820.0
2026-08-12 14:00:00+00:00,63819.0,63819.0,63597.0,63644.0
2026-08-12 14:05:00+00:00,63644.0,63734.0,63588.0,63718.0
2026-08-12 14:10:00+00:00,63720.0,63904.0,63713.0,63771.0
2026-08-12 14:15:00+00:00,63771.0,63811.0,63739.0,63776.0
2026-08-12 14:20:00+00:00,63769.0,63788.0,63702.0,63724.0
2026-08-12 14:25:00+00:00,63724.0,63782.0,63624.0,63638.0
2026-08-12 14:30:00+00:00,63633.0,63679.0,63523.0,63563.0
2026-08-12 14:35:00+00:00,63563.0,63620.0,63503.0,63560.0
2026-08-12 14:40:00+00:00,63560.0,63620.0,63507.0,63590.0
2026-08-12 14:45:00+00:00,63590.0,63624.0,63562.0,63597.0
2026-08-12 14:50:00+00:00,63597.0,63603.0,63472.0,63474.0
2026-08-12 14:55:00+00:00,63474.0,63479.0,63334.0,63340.0
2026-08-12 15:00:00+00:00,63341.0,63473.0,63297.0,63451.0
2026-08-12 15:05:00+00:00,63451.0,63496.0,63425.0,63442.0
2026-08-12 15:10:00+00:00,63442.0,63516.0,63433.0,63482.0
2026-08-12 15:15:00+00:00,63482.0,63520.0,63472.0,63511.0
2026-08-12 15:20:00+00:00,63511.0,63518.0,63426.0,63468.0
2026-08-12 15:25:00+00:00,63468.0,63475.0,63426.0,63475.0
2026-08-12 15:30:00+00:00,63475.0,63510.0,63378.0,63450.0
2026-08-12 15:35:00+00:00,63450.0,63529.0,63444.0,63501.0
2026-08-12 15:40:00+00:00,63501.0,63565.0,63465.0,63513.0
2026-08-12 15:45:00+00:00,63513.0,63541.0,63449.0,63484.0
2026-08-12 15:50:00+00:00,63484.0,63514.0,63475.0,63496.0
2026-08-12 15:55:00+00:00,63496.0,63505.0,63400.0,63424.0
2026-08-12 16:00:00+00:00,63424.0,63467.0,63400.0,63466.0
2026-08-12 16:05:00+00:00,63467.0,63486.0,63393.0,63401.0
2026-08-12 16:10:00+00:00,63401.0,63462.0,63350.0,63461.0
2026-08-12 16:15:00+00:00,63462.0,63546.0,63445.0,63503.0
2026-08-12 16:20:00+00:00,63504.0,63522.0,63468.0,63511.0
2026-08-12 16:25:00+00:00,63510.0,63550.0,63503.0,63550.0
2026-08-12 16:30:00+00:00,63550.0,63571.0,63526.0,63526.0
2026-08-12 16:35:00+00:00,63526.0,63537.0,63504.0,63528.0
2026-08-12 16:40:00+00:00,63528.0,63544.0,63489.0,63504.0
2026-08-12 16:45:00+00:00,63504.0,63504.0,63453.0,63459.0
2026-08-12 16:50:00+00:00,63459.0,63496.0,63453.0,63471.0
2026-08-12 16:55:00+00:00,63471.0,63500.0,63470.0,63472.0
2026-08-12 17:00:00+00:00,63472.0,63504.0,63471.0,63497.0
2026-08-12 17:05:00+00:00,63498.0,63506.0,63490.0,63493.0
2026-08-12 17:10:00+00:00,63493.0,63525.0,63459.0,63521.0
2026-08-12 17:15:00+00:00,63521.0,63536.0,63497.0,63498.0
2026-08-12 17:20:00+00:00,63498.0,63498.0,63406.0,63422.0
2026-08-12 17:25:00+00:00,63422.0,63434.0,63405.0,63427.0
2026-08-12 17:30:00+00:00,63427.0,63460.0,63400.0,63460.0
2026-08-12 17:35:00+00:00,63460.0,63493.0,63446.0,63461.0
2026-08-12 17:40:00+00:00,63461.0,63479.0,63456.0,63457.0
2026-08-12 17:45:00+00:00,63457.0,63466.0,63434.0,63466.0
2026-08-12 17:50:00+00:00,63466.0,63517.0,63460.0,63461.0
2026-08-12 17:55:00+00:00,63461.0,63470.0,63455.0,63456.0
2026-08-12 18:00:00+00:00,63456.0,63468.0,63409.0,63458.0
2026-08-12 18:05:00+00:00,63458.0,63460.0,63441.0,63445.0
2026-08-12 18:10:00+00:00,63445.0,63487.0,63426.0,63460.0
2026-08-12 18:15:00+00:00,63461.0,63461.0,63387.0,63401.0
2026-08-12 18:20:00+00:00,63401.0,63405.0,63359.0,63386.0
2026-08-12 18:25:00+00:00,63386.0,63416.0,63385.0,63411.0
2026-08-12 18:30:00+00:00,63412.0,63501.0,63405.0,63477.0
2026-08-12 18:35:00+00:00,63477.0,63478.0,63421.0,63425.0
2026-08-12 18:40:00+00:00,63425.0,63431.0,63403.0,63424.0
2026-08-12 18:45:00+00:00,63424.0,63424.0,63401.0,63406.0
2026-08-12 18:50:00+00:00,63406.0,63406.0,63358.0,63366.0
2026-08-12 18:55:00+00:00,63366.0,63374.0,63358.0,63367.0
2026-08-12 19:00:00+00:00,63367.0,63398.0,63361.0,63398.0
2026-08-12 19:05:00+00:00,63398.0,63400.0,63388.0,63400.0
2026-08-12 19:10:00+00:00,63400.0,63416.0,63365.0,63366.0
2026-08-12 19:15:00+00:00,63366.0,63450.0,63357.0,63425.0
2026-08-12 19:20:00+00:00,63425.0,63425.0,63357.0,63357.0
2026-08-12 19:25:00+00:00,63357.0,63382.0,63286.0,63362.0
2026-08-12 19:30:00+00:00,63362.0,63382.0,63350.0,63366.0
2026-08-12 19:35:00+00:00,63365.0,63388.0,63341.0,63342.0
2026-08-12 19:40:00+00:00,63342.0,63372.0,63322.0,63322.0
2026-08-12 19:45:00+00:00,63323.0,63359.0,63306.0,63332.0
2026-08-12 19:50:00+00:00,63331.0,63400.0,63307.0,63393.0
2026-08-12 19:55:00+00:00,63391.0,63423.0,63377.0,63417.0
2026-08-12 20:00:00+00:00,63416.0,63510.0,63408.0,63491.0
2026-08-12 20:05:00+00:00,63491.0,63510.0,63420.0,63420.0
2026-08-12 20:10:00+00:00,63420.0,63468.0,63419.0,63451.0
2026-08-12 20:15:00+00:00,63451.0,63479.0,63411.0,63479.0
2026-08-12 20:20:00+00:00,63478.0,63485.0,63442.0,63477.0
2026-08-12 20:25:00+00:00,63477.0,63503.0,63476.0,63494.0
2026-08-12 20:30:00+00:00,63495.0,63532.0,63494.0,63527.0
2026-08-12 20:35:00+00:00,63524.0,63549.0,63511.0,63549.0
2026-08-12 20:40:00+00:00,63549.0,63555.0,63526.0,63527.0
2026-08-12 20:45:00+00:00,63527.0,63547.0,63512.0,63513.0
2026-08-12 20:50:00+00:00,63513.0,63540.0,63509.0,63515.0
2026-08-12 20:55:00+00:00,63515.0,63586.0,63515.0,63586.0
2026-08-12 21:00:00+00:00,63585.0,63636.0,63561.0,63565.0
2026-08-12 21:05:00+00:00,63564.0,63565.0,63534.0,63543.0
2026-08-12 21:10:00+00:00,63543.0,63608.0,63543.0,63564.0
